AK-47	WARS	*HUNGARIAN REVOLUTION OF 1956\N*VIETNAM WAR\N*SEE OTHER CONFLICTS AND WARS
AGM-88 HARM	WARS	GULF WAR
AGM-88 HARM	WARS	KOSOVO WAR
AGM-88 HARM	WARS	IRAQ WAR
AGM-88 HARM	WARS	2011 MILITARY INTERVENTION IN LIBYA
AGM-65 MAVERICK	WARS	VIETNAM WAR
AGM-65 MAVERICK	WARS	YOM KIPPUR WAR
AGM-65 MAVERICK	WARS	IRAN–IRAQ WAR
AGM-65 MAVERICK	WARS	GULF WAR
AGM-65 MAVERICK	WARS	IRAQ WAR
AGM-65 MAVERICK	WARS	LIBYAN CIVIL WAR
GATLING GUN	WARS	AMERICAN CIVIL WAR
GATLING GUN	WARS	ANGLO-ZULU WAR
GATLING GUN	WARS	INDIAN WARS
GATLING GUN	WARS	BOSHIN WAR
GATLING GUN	WARS	DONGHAK PEASANT REVOLUTION
GATLING GUN	WARS	NORTHWEST REBELLION
GATLING GUN	WARS	WAR OF THE PACIFIC
GATLING GUN	WARS	SPANISH–AMERICAN WAR
GATLING GUN	WARS	PHILIPPINE–AMERICAN WAR
GATLING GUN	WARS	BOXER REBELLION
GATLING GUN	WARS	RUSSO-JAPANESE WAR
GATLING GUN	WARS	1895
KATYUSHA ROCKET LAUNCHER	WARS	WORLD WAR II
KATYUSHA ROCKET LAUNCHER	WARS	KOREAN WAR
KATYUSHA ROCKET LAUNCHER	WARS	VIETNAM WAR
KATYUSHA ROCKET LAUNCHER	WARS	YOM KIPPUR WAR
KATYUSHA ROCKET LAUNCHER	WARS	IRAN–IRAQ WAR
KATYUSHA ROCKET LAUNCHER	WARS	2006
KATYUSHA ROCKET LAUNCHER	WARS	2011
KATYUSHA ROCKET LAUNCHER	WARS	SYRIAN CIVIL WAR
KATYUSHA ROCKET LAUNCHER	WARS	NORTHERN IRAQ OFFENSIVE
M16 RIFLE	WARS	*VIETNAM WAR\N*GULF WAR\N*WAR IN AFGHANISTAN\N*IRAQ WAR\N*SEE OTHER CONFLICTS AND WARS
V-1 FLYING BOMB	WARS	WORLD WAR II
M18 CLAYMORE MINE	WARS	VIETNAM WAR
M18 CLAYMORE MINE	WARS	CAMBODIAN CIVIL WAR
M18 CLAYMORE MINE	WARS	IRAQ WAR
M18 CLAYMORE MINE	WARS	GULF WAR
M18 CLAYMORE MINE	WARS	BOSNIAN WAR
M18 CLAYMORE MINE	WARS	RHODESIAN BUSH WAR
M18 CLAYMORE MINE	WARS	WAR IN AFGHANISTAN
M198 HOWITZER	WARS	GULF WAR
M102 HOWITZER	WARS	VIETNAM WAR
M102 HOWITZER	WARS	INVASION OF GRENADA
M102 HOWITZER	WARS	GULF WAR
M102 HOWITZER	WARS	IRAQ WAR
M110 HOWITZER	WARS	VIETNAM WAR
M110 HOWITZER	WARS	IRAN–IRAQ WAR
M110 HOWITZER	WARS	1982
M110 HOWITZER	WARS	GULF WAR
M109 HOWITZER	WARS	VIETNAM WAR
M109 HOWITZER	WARS	YOM KIPPUR WAR
M109 HOWITZER	WARS	IRAN–IRAQ WAR
M109 HOWITZER	WARS	WESTERN SAHARA WAR
M109 HOWITZER	WARS	PERSIAN GULF WAR
M109 HOWITZER	WARS	IRAQ WAR
M109 HOWITZER	WARS	SAUDI ARABIAN-LED INTERVENTION IN YEMEN
HEAVY EQUIPMENT TRANSPORT SYSTEM	WARS	WORLD WAR II
FIM-92 STINGER	WARS	FALKLANDS WAR
FIM-92 STINGER	WARS	SOVIET–AFGHAN WAR
FIM-92 STINGER	WARS	ANGOLAN CIVIL WAR
FIM-92 STINGER	WARS	KARGIL WAR
FIM-92 STINGER	WARS	YUGOSLAV WARS
FIM-92 STINGER	WARS	INVASION OF GRENADA
FIM-92 STINGER	WARS	SYRIAN CIVIL WAR
M551 SHERIDAN	WARS	VIETNAM WAR
M551 SHERIDAN	WARS	UNITED STATES INVASION OF PANAMA
M551 SHERIDAN	WARS	OPERATION DESERT SHIELD
M551 SHERIDAN	WARS	GULF WAR
M61 VULCAN	WARS	VIETNAM WAR
M61 VULCAN	WARS	GULF WAR
M61 VULCAN	WARS	WAR IN AFGHANISTAN
M61 VULCAN	WARS	IRAQ WAR
GLADIUS	WARS	ROMAN REPUBLIC AND ROMAN EMPIRE
M4 SHERMAN	WARS	WORLD WAR II
M4 SHERMAN	WARS	CHINESE CIVIL WAR
M4 SHERMAN	WARS	INDONESIAN NATIONAL REVOLUTION
M4 SHERMAN	WARS	GREEK CIVIL WAR
M4 SHERMAN	WARS	1948 ARAB–ISRAELI WAR
M4 SHERMAN	WARS	KOREAN WAR
M4 SHERMAN	WARS	REVOLUCIóN LIBERTADORA
M4 SHERMAN	WARS	SUEZ CRISIS
M4 SHERMAN	WARS	INDO-PAKISTANI WAR OF 1965
M4 SHERMAN	WARS	SIX-DAY WAR
M4 SHERMAN	WARS	INDO-PAKISTANI WAR OF 1971
M4 SHERMAN	WARS	YOM KIPPUR WAR
M4 SHERMAN	WARS	IRAN–IRAQ WAR
M4 SHERMAN	WARS	1958 LEBANON CRISIS
M4 SHERMAN	WARS	LEBANESE CIVIL WAR
M4 SHERMAN	WARS	CUBAN REVOLUTION
M4 SHERMAN	WARS	NICARAGUAN REVOLUTION
IMI GALIL	WARS	1982 LEBANON WAR
IMI GALIL	WARS	WAR IN SOMALIA
IMI GALIL	WARS	SOUTH AFRICAN BORDER WAR
IMI GALIL	WARS	WAR IN AFGHANISTAN
IMI GALIL	WARS	IRAQ WAR
IMI GALIL	WARS	INSURGENCY IN THE PHILIPPINES
IMI GALIL	WARS	GUATEMALAN CIVIL WAR
IMI GALIL	WARS	COLOMBIAN ARMED CONFLICT
IMI GALIL	WARS	2013
SABRE	WARS	NAPOLEONIC WARS
SABRE	WARS	AMERICAN REVOLUTION
SABRE	WARS	AMERICAN CIVIL WAR
SABRE	WARS	FRANCO-PRUSSIAN WAR
SABRE	WARS	WORLD WAR I
SABRE	WARS	POLISH-SOVIET WAR
UZI	WARS	SUEZ CRISIS
UZI	WARS	SIX-DAY WAR
UZI	WARS	VIETNAM WAR
UZI	WARS	WAR OF ATTRITION
UZI	WARS	YOM KIPPUR WAR
UZI	WARS	COLOMBIAN ARMED CONFLICT
UZI	WARS	SRI LANKAN CIVIL WAR
UZI	WARS	PORTUGUESE COLONIAL WAR
UZI	WARS	FALKLANDS WAR
UZI	WARS	INVASION OF GRENADA
UZI	WARS	1982
UZI	WARS	SOUTH AFRICAN BORDER WAR
UZI	WARS	RHODESIAN BUSH WAR
UZI	WARS	SOMALI CIVIL WAR
UZI	WARS	MEXICAN DRUG WAR
UZI	WARS	SYRIAN CIVIL WAR
UZI	WARS	GRISELDA BLANCO
RAPIER	WARS	FALKLANDS WAR
RAPIER	WARS	IRAN–IRAQ WAR
RAPIER	WARS	GULF WAR
PHALANX CIWS	WARS	GULF WAR
MOSIN–NAGANT	WARS	PHILIPPINE REVOLUTION
MOSIN–NAGANT	WARS	FIRST ITALO-ETHIOPIAN WAR
MOSIN–NAGANT	WARS	BOXER REBELLION
MOSIN–NAGANT	WARS	RUSSO-JAPANESE WAR
MOSIN–NAGANT	WARS	WORLD WAR I
MOSIN–NAGANT	WARS	FINNISH CIVIL WAR
MOSIN–NAGANT	WARS	RUSSIAN REVOLUTION
MOSIN–NAGANT	WARS	RUSSIAN CIVIL WAR
MOSIN–NAGANT	WARS	POLISH–SOVIET WAR
MOSIN–NAGANT	WARS	TURKISH WAR OF INDEPENDENCE
MOSIN–NAGANT	WARS	CHINESE CIVIL WAR
MOSIN–NAGANT	WARS	SPANISH CIVIL WAR
MOSIN–NAGANT	WARS	SECOND SINO-JAPANESE WAR
MOSIN–NAGANT	WARS	SOVIET–JAPANESE BORDER CONFLICTS
MOSIN–NAGANT	WARS	WINTER WAR
MOSIN–NAGANT	WARS	WORLD WAR II
MOSIN–NAGANT	WARS	FIRST INDOCHINA WAR
MOSIN–NAGANT	WARS	KOREAN WAR
MOSIN–NAGANT	WARS	NORTH YEMEN CIVIL WAR
MOSIN–NAGANT	WARS	SINO-INDIAN WAR
MOSIN–NAGANT	WARS	LAOTIAN CIVIL WAR
MOSIN–NAGANT	WARS	VIETNAM WAR
MOSIN–NAGANT	WARS	CAMBODIAN CIVIL WAR
MOSIN–NAGANT	WARS	CAMBODIAN–VIETNAMESE WAR
MOSIN–NAGANT	WARS	THAI–LAOTIAN BORDER WAR
MOSIN–NAGANT	WARS	WAR IN AFGHANISTAN
MOSIN–NAGANT	WARS	SOVIET WAR IN AFGHANISTAN
MOSIN–NAGANT	WARS	YUGOSLAV WARS
MOSIN–NAGANT	WARS	FIRST AND SECOND CHECHEN WARS
MOSIN–NAGANT	WARS	WAR IN AFGHANISTAN
MOSIN–NAGANT	WARS	IRAQ WAR
MOSIN–NAGANT	WARS	RUSSO-GEORGIAN WAR
MOSIN–NAGANT	WARS	SYRIAN CIVIL WAR
MOSIN–NAGANT	WARS	2014
MOSIN–NAGANT	WARS	WAR IN DONBASS
MOSIN–NAGANT	WARS	ANNEXATION OF CRIMEA BY THE RUSSIAN FEDERATION
AK-74	WARS	*SOVIET–AFGHAN WAR\N*SEE OTHER CONFLICTS AND WARS
LUGER PISTOL	WARS	WORLD WAR I
LUGER PISTOL	WARS	GERMAN REVOLUTION OF 1918–19
LUGER PISTOL	WARS	SPANISH CIVIL WAR
LUGER PISTOL	WARS	WORLD WAR II
LUGER PISTOL	WARS	SECOND SINO-JAPANESE WAR
LUGER PISTOL	WARS	INDONESIAN NATIONAL REVOLUTION
LUGER PISTOL	WARS	CHINESE CIVIL WAR
LUGER PISTOL	WARS	RHODESIAN BUSH WAR
THOMPSON SUBMACHINE GUN	WARS	BANANA WARS
THOMPSON SUBMACHINE GUN	WARS	IRISH CIVIL WAR
THOMPSON SUBMACHINE GUN	WARS	WORLD WAR II
THOMPSON SUBMACHINE GUN	WARS	INDONESIAN NATIONAL REVOLUTION
THOMPSON SUBMACHINE GUN	WARS	CHINESE CIVIL WAR
THOMPSON SUBMACHINE GUN	WARS	FIRST INDOCHINA WAR
THOMPSON SUBMACHINE GUN	WARS	GREEK CIVIL WAR
THOMPSON SUBMACHINE GUN	WARS	KOREAN WAR
THOMPSON SUBMACHINE GUN	WARS	VIETNAM WAR
THOMPSON SUBMACHINE GUN	WARS	THE TROUBLES
THOMPSON SUBMACHINE GUN	WARS	BOSNIAN WAR
THOMPSON SUBMACHINE GUN	WARS	AND NUMEROUS OTHERS
BROWNING HI-POWER	WARS	WORLD WAR II
BROWNING HI-POWER	WARS	KOREAN WAR
BROWNING HI-POWER	WARS	VIETNAM WAR
BROWNING HI-POWER	WARS	RHODESIAN BUSH WAR
BROWNING HI-POWER	WARS	FALKLANDS WAR
BROWNING HI-POWER	WARS	THE TROUBLES
BROWNING HI-POWER	WARS	WAR ON TERROR
C-4	WARS	VIETNAM WAR
C-4	WARS	WAR ON TERROR
LEE–ENFIELD	WARS	SECOND BOER WAR
LEE–ENFIELD	WARS	WORLD WAR I
LEE–ENFIELD	WARS	BRITISH EMPIRE
LEE–ENFIELD	WARS	IRISH WAR OF INDEPENDENCE
LEE–ENFIELD	WARS	IRISH CIVIL WAR
LEE–ENFIELD	WARS	WORLD WAR II
LEE–ENFIELD	WARS	INDONESIAN NATIONAL REVOLUTION
LEE–ENFIELD	WARS	INDO-PAKISTANI WARS AND CONFLICTS
LEE–ENFIELD	WARS	GREEK CIVIL WAR
LEE–ENFIELD	WARS	MALAYAN EMERGENCY
LEE–ENFIELD	WARS	FIRST INDOCHINA WAR
LEE–ENFIELD	WARS	KOREAN WAR
LEE–ENFIELD	WARS	1948 ARAB–ISRAELI WAR
LEE–ENFIELD	WARS	SUEZ CRISIS
LEE–ENFIELD	WARS	BORDER CAMPAIGN
LEE–ENFIELD	WARS	MAU MAU UPRISING
LEE–ENFIELD	WARS	VIETNAM WAR
LEE–ENFIELD	WARS	THE TROUBLES
LEE–ENFIELD	WARS	SINO-INDIAN WAR
LEE–ENFIELD	WARS	BANGLADESH LIBERATION WAR
LEE–ENFIELD	WARS	SOVIET INVASION OF AFGHANISTAN
LEE–ENFIELD	WARS	NEPALESE CIVIL WAR
LEE–ENFIELD	WARS	WAR IN AFGHANISTAN
MGM-140 ATACMS	WARS	GULF WAR
MGM-140 ATACMS	WARS	IRAQ WAR
MGM-140 ATACMS	WARS	WAR IN AFGHANISTAN
M1 GARAND	WARS	WORLD WAR II
M1 GARAND	WARS	INDONESIAN NATIONAL REVOLUTION
M1 GARAND	WARS	KOREAN WAR
M1 GARAND	WARS	1948
M1 GARAND	WARS	HUKBALAHAP REBELLION
M1 GARAND	WARS	FIRST INDOCHINA WAR
M1 GARAND	WARS	SUEZ CRISIS
M1 GARAND	WARS	1958
M1 GARAND	WARS	CUBAN REVOLUTION
M1 GARAND	WARS	SANDINISTA REVOLUTION
M1 GARAND	WARS	VIETNAM WAR
M1 GARAND	WARS	CAMBODIAN CIVIL WAR
M1 GARAND	WARS	ANGOLAN CIVIL WAR
M1 GARAND	WARS	IRAN–IRAQ WAR
M1 GARAND	WARS	GULF WAR
M1 GARAND	WARS	THE TROUBLES
M1 GARAND	WARS	SYRIAN CIVIL WAR
M1 GARAND	WARS	NUMEROUS OTHER CONFLICTS
MERKAVA	WARS	1982
CHALLENGER 2	WARS	IRAQ WAR
M1 CARBINE	WARS	WORLD WAR II
M1 CARBINE	WARS	HUKBALAHAP REBELLION
M1 CARBINE	WARS	MALAYAN EMERGENCY
M1 CARBINE	WARS	SUEZ CRISIS
M1 CARBINE	WARS	KOREAN WAR
M1 CARBINE	WARS	CUBAN REVOLUTION
M1 CARBINE	WARS	FIRST INDOCHINA WAR
M1 CARBINE	WARS	VIETNAM WAR
M1 CARBINE	WARS	THE TROUBLES
M1 CARBINE	WARS	CAMBODIAN CIVIL WAR
M1 CARBINE	WARS	ANGOLAN CIVIL WAR
M1 CARBINE	WARS	MEXICAN DRUG WAR
M1911 PISTOL	WARS	AS STANDARD U.S. SERVICE PISTOL:\NWORLD WAR I
M1911 PISTOL	WARS	WORLD WAR II
M1911 PISTOL	WARS	KOREAN WAR
M1911 PISTOL	WARS	VIETNAM WAR
M1911 PISTOL	WARS	IN NON-STANDARD USE:
M1911 PISTOL	WARS	INDONESIAN NATIONAL REVOLUTION
M1911 PISTOL	WARS	GULF WAR
M1911 PISTOL	WARS	WAR IN AFGHANISTAN
M1911 PISTOL	WARS	IRAQ WAR
M1911 PISTOL	WARS	SYRIAN CIVIL WAR
R-7 SEMYORKA	WARS	COLD WAR
CHARLEVILLE MUSKET	WARS	INDIAN WARS, AUSTRIAN WAR OF SUCCESSION, KARNATIC WARS, SEVEN YEARS' WAR, AMERICAN REVOLUTIONARY WAR, FRENCH REVOLUTIONARY WARS, NAPOLEONIC WARS, WAR OF 1812
BROWN BESS	WARS	INDIAN WARS
BROWN BESS	WARS	MAROON
BROWN BESS	WARS	DUMMER'S WAR
BROWN BESS	WARS	WAR OF THE AUSTRIAN SUCCESSION
BROWN BESS	WARS	JACOBITE RISING OF 1745
