MâCONNAIS	WINEPRODUCED	MâCON, MâCON-VILLAGES, POUILLY-FUISSé, POUILLY-VINZELLES, POUILLY-LOCHé, SAINT-VéRAN, VIRé-CLESSé
COLUMBIA VALLEY AVA	WINEPRODUCED	VARIETAL, DESSERT WINE, MERITAGE, AND SPARKLING WINE
WAHLUKE SLOPE AVA	WINEPRODUCED	VARIETAL
WAHLUKE SLOPE AVA	WINEPRODUCED	DESSERT WINE
WAHLUKE SLOPE AVA	WINEPRODUCED	SPARKLING WINE
WAHLUKE SLOPE AVA	WINEPRODUCED	MERITAGE
HORSE HEAVEN HILLS AVA	WINEPRODUCED	VARIETAL
HORSE HEAVEN HILLS AVA	WINEPRODUCED	DESSERT WINE
HORSE HEAVEN HILLS AVA	WINEPRODUCED	MERITAGE
HORSE HEAVEN HILLS AVA	WINEPRODUCED	SPARKLING WINE
RATTLESNAKE HILLS AVA	WINEPRODUCED	VARIETAL
RATTLESNAKE HILLS AVA	WINEPRODUCED	DESSERT WINE
RATTLESNAKE HILLS AVA	WINEPRODUCED	MERITAGE
YAKIMA VALLEY AVA	WINEPRODUCED	VARIETAL
YAKIMA VALLEY AVA	WINEPRODUCED	DESSERT WINE
YAKIMA VALLEY AVA	WINEPRODUCED	SPARKLING WINE
YAKIMA VALLEY AVA	WINEPRODUCED	MERITAGE
WALLA WALLA VALLEY AVA	WINEPRODUCED	VARIETAL
WALLA WALLA VALLEY AVA	WINEPRODUCED	DESSERT WINE
WALLA WALLA VALLEY AVA	WINEPRODUCED	SPARKLING WINE
WALLA WALLA VALLEY AVA	WINEPRODUCED	MERITAGE
PUGET SOUND AVA	WINEPRODUCED	VARIETAL
PUGET SOUND AVA	WINEPRODUCED	SPARKLING WINE
PUGET SOUND AVA	WINEPRODUCED	DESSERT WINE
COSTIèRES DE NîMES AOC	WINEPRODUCED	RED, WHITE, ROSé
CATALUNYA	WINEPRODUCED	346557.0
TASMANIAN WINE	WINEPRODUCED	STILL, DESSERT WINE, SPARKLING WINE
LOIRE VALLEY	WINEPRODUCED	STILL, SPARKLING WINE, DESSERT WINE, ROSé
NISTREANA	WINEPRODUCED	ROSU DE PURCARI
NISTREANA	WINEPRODUCED	NEGRU DE PURCARI
AçORES VR	WINEPRODUCED	13754.0
EAGLE PEAK MENDOCINO COUNTY AVA	WINEPRODUCED	PINOT NOIR
